Blog	water	music	product	general	after	version	started	wrong	pretty	out	comes	ideas	learn	lead	four	course	idea	stop	san	hands	listen	search	word	donald	conference	because	among	took	important	notice	opportunity	twitter	think	across	away	example	value	especially	whole	source	check	final	another	told	mean	far	support	over	nothing	someone	apple	wasn	taking	offer	along	single	having	state	feature	website	taken	continue	times	stuff	results	home	doing	read	need	exactly	bring	say	worked	early	play	than	nbsp	went	world	press	amazing	other	super	enough	until	three	wants	family	come	wanted	marketing	mobile	entire	against	american	got	while	public	actually	why	body	means	create	lost	friends	available	came	watch	simple	work	cost	isn	should	answer	m	off	hit	book	call	happens	pick	place	most	hours	photo	talking	am	she	well	needed	five	black	else	design	following	team	little	open	email	before	event	found	kind	ways	left	party	spent	below	article	today	u	under	million	view	old	decided	others	aren	me	every	level	give	recently	once	car	its	send	personal	add	inside	make	these	technology	though	game	when	research	show	store	number	users	minutes	camera	again	amazon	look	never	use	shot	easy	which	experience	asked	could	message	during	ever	anything	community	real	years	user	feel	too	stories	know	both	popular	people	own	art	project	less	take	similar	did	security	longer	original	young	low	monday	amp	now	change	rather	phone	makes	side	year	talk	business	something	your	anyone	co	couple	week	thousands	social	able	us	everyone	want	must	almost	since	saturday	favorite	created	love	reading	many	remember	tried	his	would	between	company	including	control	working	being	line	com	photos	voice	time	app	day	write	didn	point	earlier	doesn	really	money	simply	different	awesome	then	announced	her	high	only	youtube	re	b	instead	name	several	online	there	ago	words	yet	end	best	service	questions	even	pay	around	down	very	maybe	sure	find	thing	system	worth	big	appeared	up	long	whether	john	companies	like	vote	behind	guy	united	based	local	tools	where	link	everything	always	thanks	major	ll	past	seems	put	saying	part	states	list	stay	group	likely	city	first	late	through	yourself	hear	internet	running	understand	same	web	report	build	video	next	hot	cool	d	starting	features	google	process	via	reports	if	daily	history	question	job	matter	no	large	better	trump	become	still	case	much	learned	happy	posts	such	chance	who	age	microsoft	myself	data	person	fact	things	may	buy	gave	said	does	going	least	update	using	second	see	sometimes	later	good	goes	ask	issues	full	needs	they	had	fun	th	share	network	also	visit	tv	seen	series	hand	space	night	note	save	post	right	great	months	will	tell	track	articles	small	saw	face	into	life	government	two	last	man	involved	some	according	lot	click	building	don	here	few	drive	morning	videos	mind	bit	soon	help	problem	industry	their	finally	yes	hour	so	thought	interesting	those	says	were	done	takes	media	short	services	perhaps	hard	country	human	york	weeks	each	links	making	national	august	key	quickly	coming	turn	him	might	writing	story	gets	e	bad	any	information	let	within	month	blog	them	shows	president	together	x	live	go	house	either	already	top	wrote	keep	future	content	my	deal	recent	looking	try	used	won	called	he	our	get	do	how	computer	piece	probably	order	start	ready	directly	made	clear	latest	news	without	possible	given	move	power	happen	page	changes	run	site	care	half	members	getting	back	events	set	facebook	happened	obama	conversation	ve	please	trying	way	often	days	c	free
The Write News	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	15	0	0	4	6	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
TMZ.com	0	1	0	0	4	0	0	3	0	7	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	5	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	4	0	0	0	0	5	1	0	0	0	0	2	0	4	2	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	2	0	0	1	0	1	0	1	0	2	0	0	4	0	0	0	1	0	0	0	2	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	2	0	0	0	0	0	0	0	1	3	0	0	0	2	5	0	1	0	0	0	1	0	1	0	0	2	0	0	0	1	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	2	1	1	0	0	1	0	1	0	1	22	2	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	7	1	1	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	2	0	0	0	0	0	1	0	0	0	8	1	1	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	7	0	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0	0	0	0	1	0	0	0	2	0	3	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	2	1	0	0	1	1	0	0	0	0	0	1	0	0	0	3	0	0	2	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	3	0	0	1	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	2	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	3	0	0	0	0	1	0	0	0	3	2	0	0	1	0	0	0	13	0	0	0	1	0	0	0	3	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	2	0	0
Guy Kawasaki	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	1	1	0	0	0	4	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	2	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	3	0	0	0	2	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	1	0	0	0	1	2	0	0	0	1	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	2	0	1	0	3	0	0	0	0	2	0	2	0	0	0	0	0	0	0	2	0	1	0	0	0	0	2	6	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	10	1	0	0	0	0	3	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	3	0	0	0	1	2	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	12	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0	1	0	0	0	0	0	0	0	1	0	5	0	0	0	0	1	2	0	0	3	0	0	0	3	0	0	0	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0	0	1	0	0	6	10	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0
Derek Powazek	0	0	1	0	4	0	2	1	0	9	1	0	0	0	0	1	0	0	2	4	0	0	3	0	1	3	0	3	0	0	0	1	4	0	1	0	0	2	0	0	0	0	3	0	0	0	0	5	0	0	0	1	1	0	1	1	0	0	0	0	0	4	1	1	0	0	1	0	1	1	0	3	1	1	0	2	0	3	3	0	2	3	0	5	0	4	0	1	3	0	1	0	0	1	0	1	1	0	0	1	1	0	2	0	2	1	1	1	1	3	2	0	1	1	12	1	1	6	1	1	0	0	2	0	0	1	3	7	2	0	0	1	1	1	1	0	7	1	0	1	0	1	1	1	1	0	3	0	0	2	0	1	0	0	2	1	0	0	15	3	0	0	0	2	1	1	0	0	0	0	1	2	0	0	0	11	0	3	0	1	0	1	1	2	0	0	3	0	1	2	2	0	0	1	0	0	1	1	3	0	5	0	5	2	1	6	2	0	2	2	0	0	1	1	0	4	0	0	0	0	0	0	0	10	1	0	0	0	0	4	3	1	8	6	0	0	4	3	0	0	1	4	1	1	1	1	1	0	0	0	1	4	1	0	0	3	0	4	1	0	0	0	0	0	1	2	0	4	0	2	3	1	0	0	0	2	3	1	0	1	7	1	9	1	1	1	7	0	0	0	0	2	7	2	0	1	0	1	0	1	1	0	1	2	1	1	1	1	4	0	0	1	0	11	1	0	0	0	9	3	0	1	0	0	0	0	0	2	2	4	0	0	4	0	0	1	0	2	0	0	0	0	0	0	3	0	1	1	0	1	0	0	3	1	0	0	0	1	0	2	2	0	1	0	1	0	0	9	0	0	0	1	0	2	0	0	0	0	4	0	1	0	4	0	0	1	1	0	0	0	0	0	0	1	0	1	2	3	0	4	0	1	1	0	3	0	1	1	2	1	2	1	0	6	3	0	0	1	1	2	1	0	1	0	1	0	2	0	0	3	4	5	2	5	0	0	0	2	0	1	4	5	0	9	7	1	0	3	0	1	0	0	4	6	5	0	2	0	0	0	1	0	0	0	4	0	1	0	7	1	0	1	0	2	1	0	2	1	0	0	3	0	0	0	2	1	0	0	0	0	1	0	1	0	2	1	2	3	2	0	3	0	0	1	0	0	1	2	0	0	1	0	2	4	0	0	1	2	1	0	0	1	22	1	0	1	1	1	0	0	5	3	6	7	7	0	0	1	0	0	0	1	2	1	0	1	0	1	0	0	0	0	1	0	0	2	0	0	2	2	2	0	0	0	0	0	0	11	0	0	0	2	4	0	0
Quick Online Tips	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	1	0	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	10	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	4	0	0	1	0	0	0	0	4	0	0	1	0	0	8	0	0	1	0	2	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	10	0	0	0	0	3	1	0	0	0	0	0	0	0	0	10	0	0	0	0	0	4	0	1	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	3	1	0	1	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	17	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	10	0	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	10	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	1	0	1	1	0	0	0	1	1	0	2	0	1	2	1	12	6	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	4	0	0	0	3
Deadspin	0	1	0	0	5	0	0	0	0	3	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	2	2	0	1	0	0	1	0	0	9	2	0	0	0	0	3	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	25	0	0	1	0	0	0	0	0	0	2	1	0	0	1	0	0	1	3	1	1	0	0	0	0	0	0	0	2	2	0	1	1	0	0	0	2	0	0	1	2	0	1	0	1	3	0	5	3	0	0	2	0	1	0	1	0	1	0	0	4	1	0	1	0	0	0	0	3	1	0	1	4	1	2	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	5	0	0	0	0	0	0	0	1	3	1	1	2	1	0	1	0	1	1	0	4	0	0	0	0	0	0	0	0	0	3	1	2	0	1	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	1	0	0	4	0	0	2	4	0	0	0	0	0	0	0	3	0	1	0	1	2	1	1	0	0	0	0	1	2	9	0	1	0	2	1	0	0	4	1	0	0	2	0	2	0	1	0	1	2	1	0	0	0	0	1	0	4	0	2	0	2	0	1	0	0	0	0	0	0	0	3	4	0	1	1	0	0	2	0	2	1	0	0	1	0	0	0	1	1	0	0	0	3	0	2	0	0	0	0	0	2	0	0	1	1	0	3	0	0	1	0	0	0	1	0	0	0	0	5	0	0	0	0	0	2	0	1	0	2	0	0	0	0	1	1	0	0	0	0	0	0	6	0	0	0	0	0	3	0	0	0	0	1	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	1	0	0	0	0	0	1	5	0	0	1	3	0	0	2	0	2	0	1	0	0	3	2	0	1	4	2	0	3	0	0	0	0	4	1	0	0	1	0	0	0	1	1	0	0	6	0	0	0	2	0	0	2	0	2	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	4	2	0	1	0	1	1	2	0	1	0	2	0	3	0	0	1	0	0	0	0	0	3	3	0	0	0	0	1	1	0	0	3	0	3	0	10	3	2	2	5	0	0	1	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1	2	0	0	5	1	1	1	0	0	0	1	0	0	0	0	0	0	1
Joho the Blog	0	0	0	0	0	2	0	1	0	1	0	0	2	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	3	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	3	0	0	1	0	0	2	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	1	0	5	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	10	1	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	4	0	0	0	0	12	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	3	0	0	5	0	0	0	1	0	0	0	0	0	3	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	2	2	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	2	10	0	0	1	1	0	0	0	0	0	0	2	0	0	0	1	1	0	1	2	0	1	0	1	4	1	0	0	0	2	0	0	0	0	0	1	0	0	0	3	0	0	1	1	0	0	0	4	0	0	0	0	0	0	1	0	1	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	10	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	4	0	0	0	0	1	0	0	1	2	1	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	2	0	0
Daily Kos	14	0	1	17	17	1	3	4	0	30	3	2	2	8	4	8	11	5	0	2	5	2	3	61	2	22	12	6	3	0	0	3	14	1	5	1	0	0	2	1	2	1	11	4	4	7	20	15	4	7	0	6	1	4	5	3	2	28	1	3	2	4	20	2	2	5	13	1	11	3	0	17	2	1	2	45	0	4	19	6	2	19	1	3	11	9	3	10	10	2	1	0	1	23	21	6	17	8	15	9	2	4	2	2	3	1	8	1	3	12	4	7	11	0	8	11	2	1	7	0	1	8	15	4	0	1	10	21	15	2	3	13	5	0	8	2	2	8	4	13	2	13	5	2	8	16	4	6	4	14	20	7	11	2	8	2	2	4	14	7	2	6	1	4	2	26	4	0	1	5	17	21	1	9	4	30	2	38	2	10	0	0	2	10	0	4	4	4	9	6	40	1	1	14	4	8	8	2	2	4	16	0	5	8	6	11	16	0	41	18	0	0	6	17	2	16	8	4	4	3	3	15	4	18	5	6	4	3	1	20	1	2	6	7	1	2	4	10	2	2	5	8	3	4	4	5	12	7	0	2	3	0	13	5	1	83	47	3	0	4	1	1	11	3	3	1	1	18	3	21	3	14	5	5	15	11	16	1	1	3	12	5	32	11	16	10	20	0	5	10	3	2	36	6	5	10	7	14	1	0	11	2	14	12	13	0	4	7	5	1	1	9	1	44	9	11	5	4	26	20	5	2	16	3	4	0	19	0	4	2	3	3	10	12	0	11	8	11	24	4	2	9	6	9	19	7	13	1	4	1	4	1	9	1	6	1	4	3	0	1	5	1	1	0	1	0	5	37	11	6	1	1	6	31	0	9	179	2	20	2	13	1	1	0	5	2	50	1	0	0	2	6	12	15	12	4	0	42	6	21	5	2	7	5	10	2	4	18	2	2	6	1	3	56	23	0	0	0	4	26	0	1	4	4	3	1	14	1	0	5	19	9	4	45	6	0	1	2	6	6	18	4	8	15	17	7	2	23	10	4	5	4	13	17	7	1	11	0	2	4	3	14	6	1	39	5	3	2	39	8	0	18	14	38	5	3	19	4	1	1	8	20	1	13	3	2	0	10	11	11	2	0	3	3	19	8	0	5	4	1	1	19	3	7	5	2	0	22	7	26	6	6	8	5	11	2	4	7	5	5	4	2	19	3	1	3	5	4	8	8	98	37	15	22	19	1	4	4	2	3	0	0	12	5	4	9	6	7	3	3	3	4	1	0	11	0	2	1	7	4	17	2	6	2	0	30	0	6	8	7	18	5	9	1	2
Jeremy Zawodny's blog	13	0	1	0	11	0	1	5	1	8	0	0	0	4	1	3	2	1	3	0	0	1	0	0	0	6	0	6	4	2	1	1	3	8	4	0	7	2	1	0	2	0	4	2	1	2	0	9	0	0	0	2	1	0	5	1	5	0	0	0	3	0	3	2	1	1	2	3	5	2	1	6	3	0	0	4	0	6	1	1	0	8	0	2	4	1	2	0	1	0	0	0	3	1	0	8	6	2	1	5	0	1	0	1	0	2	1	1	0	6	1	0	6	0	6	5	0	1	1	2	1	1	8	0	0	0	4	2	7	2	0	0	1	0	1	3	2	0	3	12	0	1	0	0	4	0	1	4	0	3	0	0	0	1	0	6	3	0	17	1	0	3	2	1	0	0	1	0	0	1	4	1	0	1	0	16	0	0	0	2	2	4	1	0	0	0	3	10	0	0	9	1	4	13	0	2	3	2	0	1	8	0	1	5	1	5	4	0	6	0	0	0	1	3	0	7	0	1	1	0	0	0	0	5	1	1	0	4	1	2	3	4	7	13	2	0	2	4	0	1	0	28	4	3	3	0	7	0	2	0	0	4	3	3	1	10	8	2	2	0	2	4	4	14	0	5	0	23	0	8	2	11	4	0	1	12	0	2	1	2	16	0	1	6	7	0	5	1	3	3	3	0	19	6	0	2	5	2	2	1	4	0	3	25	16	3	3	2	3	1	0	0	3	24	10	0	0	0	17	0	4	0	0	0	1	2	8	0	2	1	2	0	8	0	3	2	0	0	1	1	0	4	2	0	13	0	2	1	1	2	1	1	3	0	0	1	0	5	0	1	13	0	0	0	0	1	0	18	0	0	0	1	1	5	2	2	0	0	4	1	4	2	2	0	3	2	5	0	1	3	4	2	3	5	5	3	3	2	3	8	0	0	4	3	10	0	2	6	0	1	0	3	0	26	17	3	0	0	4	7	2	0	2	1	3	0	2	4	0	2	5	2	0	12	0	0	1	5	2	1	9	1	0	6	2	0	3	22	0	7	0	0	1	6	13	0	0	2	0	11	1	5	2	1	13	1	0	1	23	0	3	2	0	24	0	0	1	3	0	0	5	0	0	0	2	5	0	1	0	0	0	1	3	4	4	2	0	0	1	0	0	2	1	0	0	0	3	7	0	0	2	3	0	9	0	3	1	4	1	2	2	1	21	0	2	2	4	1	0	2	9	22	16	6	8	1	0	6	0	1	2	0	7	3	0	0	1	2	0	0	0	0	0	3	1	1	0	0	1	6	16	0	4	0	2	0	0	7	3	3	13	2	0	0	1
Seth Godin's Blog on marketing, tribes and respect	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	4	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	1	4	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	1	0	0	0	0	0	2	0	2	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
